"","X","Continent"
"1",1,"Africa"
"2",2,"Africa"
"3",3,"Africa"
"4",4,"Africa"
"5",5,"Africa"
"6",6,"Africa"
"7",7,"Africa"
"8",8,"Africa"
"9",9,"Africa"
"10",10,"Africa"
"11",11,"Africa"
"12",12,"Africa"
"13",13,"Africa"
"14",14,"Africa"
"15",15,"Africa"
"16",16,"Africa"
"17",17,"Africa"
"18",18,"Africa"
"19",19,"Africa"
"20",20,"Africa"
"21",21,"Africa"
"22",22,"Africa"
"23",23,"Africa"
"24",24,"Africa"
"25",25,"Africa"
"26",26,"Africa"
"27",27,"Africa"
"28",28,"Africa"
"29",29,"Africa"
"30",30,"Africa"
"31",31,"Africa"
"32",32,"Africa"
"33",33,"Africa"
"34",34,"Africa"
"35",35,"Africa"
"36",36,"Africa"
"37",37,"Africa"
"38",38,"Africa"
"39",39,"Africa"
"40",40,"Africa"
"41",41,"Africa"
"42",42,"Africa"
"43",43,"Africa"
"44",44,"Africa"
"45",45,"Africa"
"46",46,"Africa"
"47",47,"Africa"
"48",48,"Africa"
"49",49,"Africa"
"50",50,"Africa"
"51",51,"Africa"
"52",52,"Africa"
"53",53,"Africa"
"54",54,"Africa"
"55",55,"Asia"
"56",56,"Asia"
"57",57,"Asia"
"58",58,"Asia"
"59",59,"Asia"
"60",60,"Asia"
"61",61,"Asia"
"62",62,"Asia"
"63",63,"Asia"
"64",64,"Asia"
"65",65,"Asia"
"66",66,"Asia"
"67",67,"Asia"
"68",68,"Asia"
"69",69,"Asia"
"70",70,"Asia"
"71",71,"Asia"
"72",72,"Asia"
"73",73,"Asia"
"74",74,"Asia"
"75",75,"Asia"
"76",76,"Asia"
"77",77,"Asia"
"78",78,"Asia"
"79",79,"Asia"
"80",80,"Asia"
"81",81,"Asia"
"82",82,"Asia"
"83",83,"Asia"
"84",84,"Asia"
"85",85,"Asia"
"86",86,"Asia"
"87",87,"Asia"
"88",88,"Asia"
"89",89,"Asia"
"90",90,"Asia"
"91",91,"Asia"
"92",92,"Asia"
"93",93,"Asia"
"94",94,"Asia"
"95",95,"Asia"
"96",96,"Asia"
"97",97,"Asia"
"98",98,"Asia"
"99",99,"Europe"
"100",100,"Europe"
"101",101,"Europe"
"102",102,"Europe"
"103",103,"Europe"
"104",104,"Europe"
"105",105,"Europe"
"106",106,"Europe"
"107",107,"Europe"
"108",108,"Europe"
"109",109,"Europe"
"110",110,"Europe"
"111",111,"Europe"
"112",112,"Europe"
"113",113,"Europe"
"114",114,"Europe"
"115",115,"Europe"
"116",116,"Europe"
"117",117,"Europe"
"118",118,"Europe"
"119",119,"Europe"
"120",120,"Europe"
"121",121,"Europe"
"122",122,"Europe"
"123",123,"Europe"
"124",124,"Europe"
"125",125,"Europe"
"126",126,"Europe"
"127",127,"Europe"
"128",128,"Europe"
"129",129,"Europe"
"130",130,"Europe"
"131",131,"Europe"
"132",132,"Europe"
"133",133,"Europe"
"134",134,"Europe"
"135",135,"Europe"
"136",136,"Europe"
"137",137,"Europe"
"138",138,"Europe"
"139",139,"Europe"
"140",140,"Europe"
"141",141,"Europe"
"142",142,"Europe"
"143",143,"Europe"
"144",144,"Europe"
"145",145,"Europe"
"146",146,"North America"
"147",147,"North America"
"148",148,"North America"
"149",149,"North America"
"150",150,"North America"
"151",151,"North America"
"152",152,"North America"
"153",153,"North America"
"154",154,"North America"
"155",155,"North America"
"156",156,"North America"
"157",157,"North America"
"158",158,"North America"
"159",159,"North America"
"160",160,"North America"
"161",161,"North America"
"162",162,"North America"
"163",163,"North America"
"164",164,"North America"
"165",165,"North America"
"166",166,"North America"
"167",167,"North America"
"168",168,"North America"
"169",169,"Oceania"
"170",170,"Oceania"
"171",171,"Oceania"
"172",172,"Oceania"
"173",173,"Oceania"
"174",174,"Oceania"
"175",175,"Oceania"
"176",176,"Oceania"
"177",177,"Oceania"
"178",178,"Oceania"
"179",179,"Oceania"
"180",180,"Oceania"
"181",181,"Oceania"
"182",182,"Oceania"
"183",183,"South America"
"184",184,"South America"
"185",185,"South America"
"186",186,"South America"
"187",187,"South America"
"188",188,"South America"
"189",189,"South America"
"190",190,"South America"
"191",191,"South America"
"192",192,"South America"
"193",193,"South America"
"194",194,"South America"
