"","name","country"
"1","Africa","Algeria"
"2","Africa","Angola"
"3","Africa","Benin"
"4","Africa","Botswana"
"5","Africa","Burkina Faso"
"6","Africa","Burundi"
"7","Africa","Cameroon"
"8","Africa","Cape Verde"
"9","Africa","Central African Republic"
"10","Africa","Chad"
"11","Africa","Comoros"
"12","Africa","Congo, Democratic Republic of the"
"13","Africa","Congo, Republic of the"
"14","Africa","Djibouti"
"15","Africa","Egypt"
"16","Africa","Equatorial Guinea"
"17","Africa","Eritrea"
"18","Africa","Ethiopia"
"19","Africa","Gabon"
"20","Africa","Gambia"
"21","Africa","Ghana"
"22","Africa","Guinea"
"23","Africa","Guinea-Bissau"
"24","Africa","Ivory Coast"
"25","Africa","Kenya"
"26","Africa","Lesotho"
"27","Africa","Liberia"
"28","Africa","Libya"
"29","Africa","Madagascar"
"30","Africa","Malawi"
"31","Africa","Mali"
"32","Africa","Mauritania"
"33","Africa","Mauritius"
"34","Africa","Morocco"
"35","Africa","Mozambique"
"36","Africa","Namibia"
"37","Africa","Niger"
"38","Africa","Nigeria"
"39","Africa","Rwanda"
"40","Africa","Sao Tome and Principe"
"41","Africa","Senegal"
"42","Africa","Seychelles"
"43","Africa","Sierra Leone"
"44","Africa","Somalia"
"45","Africa","South Africa"
"46","Africa","South Sudan"
"47","Africa","Sudan"
"48","Africa","Swaziland"
"49","Africa","Tanzania"
"50","Africa","Togo"
"51","Africa","Tunisia"
"52","Africa","Uganda"
"53","Africa","Zambia"
"54","Africa","Zimbabwe"
"55","Asia","Afghanistan"
"56","Asia","Bahrain"
"57","Asia","Bangladesh"
"58","Asia","Bhutan"
"59","Asia","Brunei"
"60","Asia","Burma"
"61","Asia","Cambodia"
"62","Asia","China"
"63","Asia","Timor-Leste"
"64","Asia","India"
"65","Asia","Indonesia"
"66","Asia","Iran"
"67","Asia","Iraq"
"68","Asia","Israel"
"69","Asia","Japan"
"70","Asia","Jordan"
"71","Asia","Kazakhstan"
"72","Asia","Kuwait"
"73","Asia","Kyrgyzstan"
"74","Asia","Laos"
"75","Asia","Lebanon"
"76","Asia","Malaysia"
"77","Asia","Maldives"
"78","Asia","Mongolia"
"79","Asia","Nepal"
"80","Asia","North Korea"
"81","Asia","Oman"
"82","Asia","Pakistan"
"83","Asia","Philippines"
"84","Asia","Qatar"
"85","Asia","Russia"
"86","Asia","Saudi Arabia"
"87","Asia","Singapore"
"88","Asia","South Korea"
"89","Asia","Sri Lanka"
"90","Asia","Syria"
"91","Asia","Taiwan"
"92","Asia","Tajikistan"
"93","Asia","Thailand"
"94","Asia","Turkey"
"95","Asia","Turkmenistan"
"96","Asia","United Arab Emirates"
"97","Asia","Uzbekistan"
"98","Asia","Vietnam"
"99","Asia","Yemen"
"100","Europe","Albania"
"101","Europe","Andorra"
"102","Europe","Armenia"
"103","Europe","Austria"
"104","Europe","Azerbaijan"
"105","Europe","Belarus"
"106","Europe","Belgium"
"107","Europe","Bosnia and Herzegovina"
"108","Europe","Bulgaria"
"109","Europe","Croatia"
"110","Europe","Cyprus"
"111","Europe","Czech Republic"
"112","Europe","Denmark"
"113","Europe","Estonia"
"114","Europe","Finland"
"115","Europe","France"
"116","Europe","Georgia"
"117","Europe","Germany"
"118","Europe","Greece"
"119","Europe","Hungary"
"120","Europe","Iceland"
"121","Europe","Ireland"
"122","Europe","Italy"
"123","Europe","Kosovo"
"124","Europe","Latvia"
"125","Europe","Liechtenstein"
"126","Europe","Lithuania"
"127","Europe","Luxembourg"
"128","Europe","Macedonia"
"129","Europe","Malta"
"130","Europe","Moldova"
"131","Europe","Monaco"
"132","Europe","Montenegro"
"133","Europe","Netherlands"
"134","Europe","Norway"
"135","Europe","Poland"
"136","Europe","Portugal"
"137","Europe","Romania"
"138","Europe","San Marino"
"139","Europe","Serbia"
"140","Europe","Slovakia"
"141","Europe","Slovenia"
"142","Europe","Spain"
"143","Europe","Sweden"
"144","Europe","Switzerland"
"145","Europe","Ukraine"
"146","Europe","United Kingdom"
"147","Europe","Vatican City"
"148","North America","Antigua and Barbuda"
"149","North America","Bahamas"
"150","North America","Barbados"
"151","North America","Belize"
"152","North America","Canada"
"153","North America","Costa Rica"
"154","North America","Cuba"
"155","North America","Dominica"
"156","North America","Dominican Republic"
"157","North America","El Salvador"
"158","North America","Grenada"
"159","North America","Guatemala"
"160","North America","Haiti"
"161","North America","Honduras"
"162","North America","Jamaica"
"163","North America","Mexico"
"164","North America","Nicaragua"
"165","North America","Panama"
"166","North America","Saint Kitts and Nevis"
"167","North America","Saint Lucia"
"168","North America","Saint Vincent and the Grenadines"
"169","North America","Trinidad and Tobago"
"170","North America","United States"
"171","Oceania","Australia"
"172","Oceania","Fiji"
"173","Oceania","Kiribati"
"174","Oceania","Marshall Islands"
"175","Oceania","Micronesia"
"176","Oceania","Nauru"
"177","Oceania","New Zealand"
"178","Oceania","Palau"
"179","Oceania","Papua New Guinea"
"180","Oceania","Samoa"
"181","Oceania","Solomon Islands"
"182","Oceania","Tonga"
"183","Oceania","Tuvalu"
"184","Oceania","Vanuatu"
"185","South America","Argentina"
"186","South America","Bolivia"
"187","South America","Brazil"
"188","South America","Chile"
"189","South America","Colombia"
"190","South America","Ecuador"
"191","South America","Guyana"
"192","South America","Paraguay"
"193","South America","Peru"
"194","South America","Suriname"
"195","South America","Uruguay"
"196","South America","Venezuela"
