"","country","population","area","capital"
"1","Afghanistan","29,835,392","250,000","Kabul"
"2","Albania","2,994,667","11,100","Tirane"
"3","Algeria","34,994,937","919,590","Algiers"
"4","Andorra","84,825","181","Andorra la Vella"
"5","Angola","13,338,541","481,351","Luanda"
"6","Antigua and Barbuda","87,884","171","Saint John's"
"7","Argentina","41,769,726","1,068,296","Buenos Aires"
"8","Armenia","2,967,975","11,506","Yerevan"
"9","Australia","21,766,711","2,967,893","Canberra"
"10","Austria","8,217,280","32,382","Vienna"
"11","Azerbaijan","8,372,373","33,436","Baku"
"12","The Bahamas","313,312","5,382","Nassau"
"13","Bahrain","1,214,705","257","Manama"
"14","Bangladesh","158,570,535","55,598","Dhaka"
"15","Barbados","286,705","166","Bridgetown"
"16","Belarus","9,577,552","80,154","Minsk"
"17","Belgium","10,431,477","11,787","Brussels"
"18","Belize","321,115","8,867","Belmopan"
"19","Benin","9,325,032","43,483","Porto-Novo"
"20","Bhutan","708,427","18,147","Thimphu"
"21","Bolivia","10,118,683","424,162","La Paz"
"22","Bosnia and Herzegovina","4,622,163","19,741","Sarajevo"
"23","Botswana","2,065,398","231,803","Gaborone"
"24","Brazil","203,429,773","3,286,470","Brasilia"
"25","Brunei","401,890","2,228","Bandar Seri Begawan"
"26","Bulgaria","7,093,635","42,822","Sofia"
"27","Burkina Faso","16,751,455","105,869","Ouagadougou"
"28","Burundi","10,216,190","10,745","Bujumbura"
"29","Cambodia","14,701,717","69,900","Phnom Penh"
"30","Cameroon","19,711,291","183,567","Yaounde"
"31","Canada","34,030,589","3,855,081","Ottawa"
"32","Cape Verde","516,100","1,557","Praia"
"33","Central African Republic","4,950,027","240,534","Bangui"
"34","Chad","10,758,945","495,752","N'Djamena"
"35","Chile","16,888,760","292,258","Santiago"
"36","China","1,336,718,015","3,705,386","Beijing"
"37","Colombia","44,725,543","439,733","Bogota"
"38","Comoros","794,683","838","Moroni"
"39","Congo, Democratic Republic of the","71,712,867","905,563","Kinshasa"
"40","Congo, Republic of the","4,243,929","132,046","Brazzaville"
"41","Costa Rica","4,576,562","19,730","San Jose"
"42","Ivory Coast","21,504,162","124,502","Yamoussoukro"
"43","Croatia","4,483,804","21,831","Zagreb"
"44","Cuba","11,087,330","42,803","Havana"
"45","Cyprus","1,120,489","3,571","Nicosia"
"46","Czech Republic","10,190,213","30,450","Prague"
"47","Denmark","5,529,888","16,639","Copenhagen"
"48","Djibouti","757,074","8,880","Djibouti"
"49","Dominica","72,969","291","Roseau"
"50","Dominican Republic","9,956,648","18,815","Santo Domingo"
"51","Ecuador","15,007,343","109,483","Quito"
"52","Egypt","82,079,636","386,660","Cairo"
"53","El Salvador","6,071,774","8,124","San Salvador"
"54","Equatorial Guinea","668,225","10,830","Malabo"
"55","Eritrea","5,939,484","46,842","Asmara"
"56","Estonia","1,282,963","17,462","Tallinn"
"57","Ethiopia","90,873,739","435,184","Addis Ababa"
"58","Fiji","883,125","7,054","Suva"
"59","Finland","5,259,250","130,558","Helsinki"
"60","France","65,312,249","211,208","Paris"
"61","Gabon","1,576,665","103,346","Libreville"
"62","Gambia","1,797,860","4,363","Banjul"
"63","Georgia","4,585,874","26,911","Tbilisi"
"64","Germany","81,471,834","137,846","Berlin"
"65","Ghana","24,791,073","92,456","Accra"
"66","Greece","10,760,136","50,942","Athens"
"67","Grenada","108,419","133","Saint George's"
"68","Guatemala","13,824,463","42,042","Guatemala City"
"69","Guinea","10,601,009","94,925","Conakry"
"70","Guinea-Bissau","1,596,677","13,946","Bissau"
"71","Guyana","744,768","83,000","Georgetown"
"72","Haiti","9,719,932","10,714","Port-au-Prince"
"73","Honduras","8,143,564","43,278","Tegucigalpa"
"74","Hungary","9,976,062","35,919","Budapest"
"75","Iceland","311,058","39,768","Reykjavik"
"76","India","1,189,172,906","1,269,338","New Delhi"
"77","Indonesia","245,613,043","741,096","Jakarta"
"78","Iran","77,891,220","636,293","Tehran"
