"","start_date","end_date","type","max_deaths","confirmed","injured","dead_perpetrators","perpetrator","part_of"
"1","2015-1-1","2015-1-1","Shooting",25,FALSE,10,0,"Boko Haram (suspected)","Boko Haram insurgency"
"2","2015-1-3","2015-1-3","Attack",1,TRUE,3,0,"BIFF","Moro conflict"
"3","2015-1-3","2015-1-3","Melee attack",1,TRUE,0,0,"Islamist militants","Insurgency in the Maghreb"
"4","2015-1-3","2015-1-7","Massacre",2000,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"5","2015-1-4","2015-1-4","Bombing",0,TRUE,6,0,"Unknown",""
"6","2015-1-4","2015-1-4","Bombing",4,TRUE,8,0,"Pakistani Taliban or al-Qaeda linked groups","War in North-West Pakistan"
"7","2015-1-4","2015-1-4","Bombing",6,TRUE,31,0,"Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"8","2015-1-4","2015-1-4","Suicide bombing",4,TRUE,0,0,"Al-Shabaab","War in Somalia"
"9","2015-1-5","2015-1-5","Bombing",0,TRUE,4,0,"Unknown","Sinai insurgency"
"10","2015-1-5","2015-1-5","Suicide bombing",3,TRUE,2,2,"ISIL (suspected)",""
"11","2015-1-5","2015-1-5","Suicide bombing",1,TRUE,5,1,"Taliban","War in Afghanistan"
"12","2015-1-6","2015-1-6","Suicide bombing",23,TRUE,21,2,"ISIL","Iraq War"
"13","2015-1-6","2015-1-6","Suicide bombing",1,TRUE,1,1,"DHKPC",""
"14","2015-1-7","2015-1-7","Car bomb",37,TRUE,66,0,"al-Qaeda in the Arabian Peninsula (suspected)","Yemeni Civil War"
"15","2015-1-7","2015-1-7","Mass shooting",12,TRUE,10,0,"al-Qaeda in the Arabian Peninsula",""
"16","2015-1-9","2015-1-9","Hostage crisis",4,TRUE,9,1,"ISIL",""
"17","2015-1-10","2015-1-10","Suicide bombing",7,TRUE,36,0,"al-Nusra Front","Syrian Civil War spillover in Lebanon"
"18","2015-1-10","2015-1-10","Suicide bombing",19,TRUE,20,0,"Boko Haram (suspected)","Boko Haram insurgency"
"19","2015-1-11","2015-1-11","Suicide bombing",3,TRUE,46,0,"Boko Haram","Boko Haram insurgency"
"20","2015-1-12","2015-1-12","Melee attack",0,TRUE,0,6,"Uyghur separatists","Xinjiang conflict"
"21","2015-1-13","2015-1-13","Artillery",12,TRUE,18,0,"Donetsk People's Republic","War in Donbass"
"22","2015-1-21","2015-1-21","Melee attack",0,TRUE,12,0,"Hamza Mohammed Hasan Matrouk (lone wolf)","Israeli-Palestinian conflict"
"23","2015-1-22","2015-1-22","Artillery",13,TRUE,0,0,"Donetsk People's Republic or Armed Forces of Ukraine (suspected)","War in Donbass"
"24","2015-1-23","2015-1-23","Mass shooting",15,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"25","2015-1-23","2015-1-23","Car bomb",1,TRUE,48,0,"Abu Sayaf
(suspected)","Moro conflict"
"26","2015-1-24","2015-1-24","Artillery",30,TRUE,108,0,"Donetsk People's Republic","War in Donbass"
"27","2015-1-25","2015-1-25","Attack",67,TRUE,0,0,"Bangsamoro Islamic Freedom Fighters
Moro Islamic Liberation Front","Moro conflict"
"28","2015-1-28","2015-1-28","Suicide bombing",10,TRUE,5,3,"ISIL","Libyan Civil War"
"29","2015-1-30","2015-1-30","Bombing",60,TRUE,0,0,"Jundullah","Sectarianism in Pakistan"
"30","2015-2-3","2015-2-3","Melee Attack",0,TRUE,3,0,"Islamist Lone Wolf",NA
"31","2015-2-4","2015-2-5","Mass shooting",91,TRUE,500,0,"Boko Haram","Boko Haram insurgency in Cameroon"
"32","2015-2-6","2015-2-6","Shooting",5,TRUE,17,109,"Boko Haram","Boko Haram insurgency"
"33","2015-2-10","2015-2-10","Artillery",7,TRUE,26,0,"Donetsk People's Republic","War in Donbass"
"34","2015-2-13","2015-2-13","Mass shooting, Bombing",22,TRUE,60,0,"Pakistani Taliban","War in North-West Pakistan"
