"","country","place"
"1","Cameroon","Waza Region"
"2","Philippines","Maguindanao and Sultan Kudarat"
"3","Tunisia","El Fahs"
"4","Nigeria","Baga"
"5","Mali","Gao Region"
"6","Pakistan","Orakzai Agency"
"7","Yemen","Dhamar Governorate"
"8","Somalia","Mogadishu"
"9","Egypt","Al-Arish"
"10","Saudi Arabia","Arar"
"11","Afghanistan","Kabul"
"12","Iraq","Al Anbar Governorate"
"13","Turkey","Istanbul"
"14","Yemen","Sana'a"
"15","France","Paris"
"16","France","Porte de Vincennes"
"17","Lebanon","Tripoli"
"18","Nigeria","Maiduguri"
"19","Nigeria","Potiskum"
"20","China","Xinjiang"
"21","Ukraine","Volnovakha"
"22","Israel","Tel Aviv"
"23","Ukraine","Donetsk"
"24","Nigeria","Kambari"
"25","Philippines","Zamboanga City"
"26","Ukraine","Mariupol"
"27","Philippines","Mamasapano"
"28","Libya","Tripoli"
"29","Pakistan","Shikarpur"
"30","Cameroon","Fotokol"
"31","Niger","Bosso and Diffa"
"32","Ukraine","Kramatorsk"
"33","Pakistan","Peshawar"
"34","Philippines","Mati"
"35","Denmark","Copenhagen"
"36","Pakistan","Lahore"
"37","Japan","Kawasaki"
"38","Ukraine","Kharkiv"
"39","Pakistan","Chaman"
"40","Pakistan","Chaman"
"41","Nigeria","Biu"
"42","Nigeria","Jos"
"43","Egypt","Assouan"
"44","Afghanistan","Nangarhar"
"45","Afghanistan","Nangarhar"
"46","Egypt","Cairo"
"47","Yemen","Hadramout"
"48","Nigeria","Diffa"
"49","South Korea","Seoul"
"50","Mali","Bamako"
"51","Israel","East Jerusalem"
"52","Afghanistan","Kabul"
"53","Nigeria","Maiduguri"
"54","Egypt","Alexandria"
"55","Mali","Kidal"
"56","Pakistan","Lahore"
"57","Tunisia","Tunis"
"58","India","Kashmir"
"59","Yemen","Sana'a"
"60","Libya","Benghazi"
"61","Nigeria","Damasak"
"62","Israel","Hebron"
"63","Somalia","Mogadishu"
"64","Turkey","Istanbul"
"65","Kenya","Garissa"
"66","India","Kashmir"
"67","India","Arunachal Pradesh"
"68","Egypt","Sinai"
"69","Nigeria","Kwajaffa"
"70","Saudi Arabia","Riyadh"
"71","Iraq","Baghdad"
"72","Thailand","Ko Samui"
"73","Pakistan","Baluchistan"
"74","Egypt","near Sheikh Zuweid"
"75","Egypt","Arish"
"76","Iraq","Baghdad"
"77","Somalia","Mogadishu"
"78","Israel","East Jerusalem"
"79","Iraq","Erbil"
"80","Afghanistan","Jalalabad"
"81","Somalia","Garoowe"
"82","Macedonia","Lipkovo"
"83","Iraq","Balad"
"84","Bosnia and Herzegovina","Zvornik"
"85","India","Nagaland"
"86","Iraq","Baghdad"
"87","United States","Garland"
"88","Afghanistan","Warduj"
"89","Afghanistan","Kabul"
"90","Iraq","Balad Ruz"
"91","Macedonia","Kumanovo"
"92","Iraq","Baghdad"
"93","Afghanistan","Kabul"
"94","Iraq","Baghdad"
"95","Pakistan","Karachi"
"96","Afghanistan","Kabul"
"97","Afghanistan","Kabul"
"98","Libya","Al Qubbah"
"99","Afghanistan","Kabul"
"100","Israel","East Jerusalem"
"101","Libya","Misrata"
"102","Saudi Arabia","al-Qadeeh"
"103","Pakistan","Karachi"
"104","Afghanistan","Nawzad District"
"105","Tunisia","Tunis"
"106","Kenya","Garissa County"
"107","Iraq","Baghdad"
"108","Saudi Arabia","Dammam"
"109","Pakistan","Lahore"
"110","Pakistan","Mastung"
"111","Philippines","Jolo"
"112","Iraq","Randi"
"113","India","Manipur"
"114","Pakistan","North Waziristan"
"115","Pakistan","Peshawar"
"116","Iraq","Hajjaj"
"117","Chad","N'Djamena"
"118","United States","Charleston"
"119","Niger","Diffa Region"
"120","Nigeria","Monguno"
"121","Afghanistan","Kabul"
"122","Nigeria","Borno"
"123","Nigeria","Gujba"
"124","Nigeria","Maiduguri"
"125","Somalia","Mogadishu"
"126","Syria","Barkh Butan"
"127","Iraq","Baghdad"
"128","Syria","Hasakeh"
"129","France","Saint-Quentin-Fallavier"
"130","Kuwait","Kuwait City"
"131","Tunisia","Sousse"
"132","Somalia","Leego"
"133","Mali","Nara"
"134","Iraq","Baghdad"
"135","Nigeria","Maiduguri"
"136","Chad","N'Djamena"
"137","Yemen","Sana'a"
"138","Israel","Shilo"
"139","Egypt","Cairo"
"140","Afghanistan","Lashkar Gah"
"141","Afghanistan","Kabul"
"142","Egypt","North Sinai"
"143","Nigeria","Kukawa"
"144","Libya","Derna"
"145","Pakistan","Waziristan"
"146","Nigeria","Jos and Potiskum"
"147","Chad","Lake Chad"
"148","Nigeria","Zaria"
"149","Kenya","Mandera"
"150","Afghanistan","Faryab Province"
"151","Niger","Bosso"
"152","Nigeria","Ngamdu"
"153","Nigeria","Monguno"
"154","Nigeria","Maiduguri"
"155","Chad","N'Djamena"
"156","Egypt","Cairo"
"157","Iraq","Baghdad"
"158","Niger","Diffa"
