"","country","Christian","Christian%","Muslim","Muslim%","Unaffiliated","Unaffiliated%","Hindu","Hindu%","Buddhist","Buddhist%","Folk Religion","Folk Religion%","Other Religion","Other Religion%","Jewish","Jewish%"
"1","Afghanistan","31410","0.1","31315770","99.7","0","0","10000","0.03","0","0","0","0","20000","0.06","1","0"
"2","Albania","576000","18","2569600","80.3","44800","1.4","0","0","0","0","0","0","6400","0.2","0","0"
"3","Algeria","70940","0.2","34725130","97.9","638460","1.8","0","0","0","0","10000","0.03","0","0","0","0"
"4","Andorra","71600","89.5","640","0.8","7040","8.8","400","0.5","0","0","0","0","80","0.1","240","0.3"
"5","Angola","17267400","90.5","38160","0.2","973080","5.1","0","0","0","0","801360","4.2","0","0","0","0"
"6","Antigua and Barbuda","83700","93","540","0.6","1530","1.7","180","0.2","0","0","3240","3.6","900","1","0","0"
"7","Argentina","34429320","85.2","404100","1","4930020","12.2","0","0","20000","0.05","323280","0.8","121230","0.3","202050","0.5"
"8","Armenia","3043650","98.5","0","0","40170","1.3","0","0","0","0","0","0","3090","0.1","0","0"
"9","Australia","14987710","67.3","534480","2.4","5389340","24.2","311780","1.4","601290","2.7","155890","0.7","178160","0.8","111350","0.5"
"10","Austria","6745560","80.4","453060","5.4","1132650","13.5","0","0","16780","0.2","0","0","8390","0.1","16780","0.2"
"11","Azerbaijan","275700","3","8905110","96.9","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Bahamas","326400","96","340","0.1","10540","3.1","0","0","0","0","1020","0.3","1020","0.3","0","0"
"13","Bahrain","182700","14.5","885780","70.3","23940","1.9","123480","9.8","31500","2.5","0","0","2520","0.2","7560","0.6"
"14","Bangladesh","297380","0.2","133523620","89.8","80000","0.05","13530790","9.1","743450","0.5","594760","0.4","30000","0.02","0","0"
"15","Barbados","257040","95.2","2700","1","5130","1.9","1080","0.4","0","0","0","0","3780","1.4","0","0"
"16","Belarus","6835200","71.2","19200","0.2","2745600","28.6","0","0","0","0","0","0","0","0","0","0"
"17","Belgium","6875820","64.2","631890","5.9","3105900","29","0","0","21420","0.2","21420","0.2","10000","0.09","32130","0.3"
"18","Belize","271560","87.6","310","0.1","27590","8.9","620","0.2","1550","0.5","4650","1.5","310","0.1","3100","1"
"19","Benin","4690500","53","2106300","23.8","442500","5","0","0","0","0","1601850","18.1","0","0","0","0"
"20","Bhutan","3650","0.5","1460","0.2","0","0","164980","22.6","545310","74.7","13870","1.9","0","0","0","0"
"21","Bolivia","9324270","93.9","0","0","407130","4.1","0","0","0","0","89370","0.9","99300","1","0","0"
