"","Date","Type","Dead","Injured","Location","Details","Perpetrator","Part of","Month"
"1","1","Shooting","15-25+","10+","Waza Region, Cameroon","A group of militants attacked a crowded bus traveling from Kousseri to Maroua. Locals said at least 15 were killed, while official sources said 25 were killed and another 10 were seriously injured. Boko Haram is suspected.[1]","Boko Haram (suspected)","Boko Haram insurgency",1
"2","3","Attack","1","3","Maguindanao and Sultan Kudarat, Philippines","An undetermined number of Bangsamoro Islamic Freedom Fighters (BIFF) insurgents launched simultaneous attacks on two military attachments: at the Kulasi detachment in Barangay Kulasi in General Salipada K. Pendatun, Maguindanao; and at Sitio Sumilalao in Barangay Katiku of President Quirino, Sultan Kudarat at 1 am local time. Military forces opened fire at the attacking insurgents, and the clashes lasted about an hour. One soldier was killed and three were wounded from the Katiku detachment.[2]","BIFF","Moro conflict",1
"3","3","Melee attack","1","0","El Fahs, Tunisia","A Tunisian policeman was ambushed by a group of Islamist militants and abducted. They then killed him by cutting his throat and stabbing his heart. Nine people have been arrested in connection with the attack.[3]","Islamist militants","Insurgency in the Maghreb",1
"4","3–7","Massacre","Unknown
Est. 2000+","Unknown","Baga, Borno State, Nigeria","2015 Baga massacre: Boko Haram militants opened fire on northern Nigerian villages, leaving bodies scattered everywhere, with over 100 fatalities reported and as many as 2,000 people unaccounted for and feared dead.[4]","Boko Haram","Boko Haram insurgency",1
"5","4","Bombing","0","6","Gao Region, Mali","A roadside bomb exploded next to a United Nations convoy of Niger troops in the Gao region between the northern communities of Asongo and Meneka, injuring six UN soldiers, three seriously.[5]","Unknown","",1
"6","4","Bombing","4","8","Orakzai Agency, Pakistan","While Shiite men were playing a game of volleyball in the Orakzai tribal district of the Pakistani northwest, a bomb dug into the ground near the playing field detonated, killing four civilians and injuring eight others, two critically.[6]","Pakistani Taliban or al-Qaeda linked groups","War in North-West Pakistan",1
"7","4","Bombing","6","31","Dhamar Governorate, Yemen","An explosion hit a Houthi HQ south of the Yemen capital of Saana in Dhormar province, killing six Houthi rebels and injuring 31 others.[7]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War",1
"8","4","Suicide bombing","4","n/a","Mogadishu, Somalia","A suicide car bomber detonated his explosives as a military convoy passed by, killing four soldiers.[8]","Al-Shabaab","War in Somalia",1
"9","5","Bombing","0","4","Al-Arish, Egypt","Four police officers were injured when a bomb detonated at the entrance to an apartment complex in the Sinai peninsula capital of Al-Arish.[9]","Unknown","Sinai insurgency",1
"10","5","Suicide bombing","3 (+2)","2","Arar, Saudi Arabia","January 2015 Arar attack: Two gunmen, one strapped with a suicide vest, ambushed a border guard patrol along the border with Iraq, killing two guards and injuring one. The guards were able to return fire and kill one of the gunmen, and afterwards the other one detonated his vest.[10][11]","ISIL (suspected)","",1
"11","5","Suicide bombing","1 (+1)","5","Kabul, Afghanistan","A car packed with explosives drove up to the HQ of EUPOL Afghanistan, a European police-training organization in Kabul, and detonated, killing one Afghan civilian and wounding five others. The Taliban quickly claimed responsibility for the attack.[12]","Taliban","War in Afghanistan",1
